userid,start_busStop,start_busDes,start_roadDes,start_x,start_y,end_busStop,end_busDes,end_roadDes,end_x,end_y,userid,
599,92059,Bet Blks 72/74,Marine Parade Rd,103.9077,1.304251,3011,Fullerton Sq,Fullerton Rd,103.8533,1.285598,599,
616,84241,Blk 81,Bedok Nth Rd,103.94,1.328614,70259,Opp MacPherson Stn,Paya Lebar Rd,103.8908,1.324987,616,
617,55509,Yio Chu Kang Int,Ang Mo Kio Ave 8,103.8456,1.381132,45139,Kranji Stn,Woodlands Rd,103.7618,1.42526,617,
620,93019,Neptune Ct,Marine Parade Rd,103.9211,1.307876,53059,Opp Thomson Plaza,Upp Thomson Rd,103.8315,1.3554,620,
620,93019,Neptune Ct,Marine Parade Rd,103.9211,1.307876,40011,Little India Stn,Bt Timah Rd,103.8491,1.306064,620,
624,81219,Opp Geylang Polyclinic,Geylang East Ctrl,103.8867,1.318771,80141,Opp Mountbatten Voc Sch,Mountbatten Rd,103.8799,1.307118,624,
633,75229,Temasek Poly East G,Tampines Ave 1,103.9368,1.344986,71161,Blk 3019,Ubi Ave 2,103.8921,1.327335,633,
641,59409,Evangel Family Ch,Yishun Ring Rd,103.8464,1.426639,59569,Opp Blk 798,Yishun Ring Rd,103.8329,1.418493,641,
644,44251,Blk 604,Bt Panjang Rd,103.7623,1.380334,10209,Redhill Stn,Tiong Bahru Rd,103.8167,1.289546,644,
652,96059,Changi Ct,Upp Changi Rd East,103.9622,1.343513,96259,Aft Changi General Hosp,Simei St 3,103.9512,1.340426,652,
655,52331,Blk 27,Lor 6 Toa Payoh,103.8558,1.332464,84349,Fengshan Pr Sch,Bedok Nth Rd,103.9323,1.330917,655,
658,44201,Aft Petir Stn,Petir Rd,103.7673,1.377323,4151,Cath Of The Good Shepherd,Victoria St,103.8511,1.295338,658,
663,22449,Blk 685B,Jurong West St 64,103.7038,1.342762,16121,Galen,Science Pk Rd,103.7834,1.286511,663,
665,65229,Blk 298,Punggol Ctrl,103.9056,1.403202,65009,Punggol Temp Int,Punggol Pl,103.9022,1.403706,665,
670,61051,Aft Upp Serangoon Rd,Upp Aljunied Rd,103.8721,1.339583,70221,Blk 79 FC,Circuit Rd,103.8851,1.326208,670,
670,62069,Bef Upp Paya Lebar Rd,Bartley Rd,103.8816,1.342099,96281,Opp Changi General Hosp,Simei Ave,103.9485,1.339417,670,
672,64331,Blk 508,Hougang Ave 4,103.8881,1.371436,14141,VivoCity,Telok Blangah Rd,103.8221,1.265514,672,
676,15149,PSA Bldg,Pasir Panjang Rd,103.8006,1.273419,92099,One Amber,Mountbatten Rd,103.899,1.302378,676,
678,40239,Aft Tanglin CC,Whitley Rd,103.8262,1.322554,11071,Blk 97,Queensway,103.8017,1.306213,678,
690,46539,Blk 320,Woodlands Ave 3,103.7782,1.4321,46511,Marsiling Pr Sch,Woodlands Ctr Rd,103.7726,1.434382,690,
692,72081,Opp Blk 668,Jln Damai,103.9095,1.333319,52149,Opp Philips S'pore,Lor 1 Toa Payoh,103.8436,1.336405,692,
702,43841,Blk 324,Bt Batok St 33,103.7475,1.361954,46059,Chartered Semi-C Bldg,Woodlands Rd,103.7666,1.438754,702,
720,76079,Blk 101,Tampines Ave 2,103.9456,1.347944,84041,Blk 221A,New Upp Changi Rd,103.9347,1.324691,720,
725,55139,Blk 641,Ang Mo Kio Ave 4,103.84,1.3789,55509,Yio Chu Kang Int,Ang Mo Kio Ave 8,103.8456,1.381132,725,
735,64391,Blk 831,Hougang Ave 10,103.8898,1.371454,70291,Asiawide Ind Bldg,Upp Paya Lebar Rd,103.8871,1.337435,735,
735,64391,Blk 831,Hougang Ave 10,103.8898,1.371454,64331,Blk 508,Hougang Ave 4,103.8881,1.371436,735,
738,14209,Aft Hewlett Packard,Depot Rd,103.8096,1.281761,4168,Opp Peninsula Plaza,Nth Bridge Rd,103.8513,1.292082,738,
744,70291,Asiawide Ind Bldg,Upp Paya Lebar Rd,103.8871,1.337435,53121,Marymount Stn,Marymount Rd,103.8395,1.350167,744,
756,64209,Aft Defu Ave 1,Tampines Rd,103.8945,1.36147,54481,ITE College Ctrl,Ang Mo Kio Ave 5,103.8558,1.375995,756,
768,12099,Opp SIM HQ,Clementi Rd,103.7768,1.32803,84701,Blk 151,Kaki Bt Ave 1,103.9121,1.336013,768,
768,64359,Montfort Sch,Hougang Ave 8,103.8892,1.375287,19031,Dover Stn,C'wealth Ave West,103.7784,1.311234,768,
788,96299,Simei Green,Simei St 4,103.9572,1.341261,96169,Simei Stn,Simei St 3,103.9535,1.342262,788,
791,18071,NUH,Buona Vista Flyover,103.7845,1.295408,22319,Chun Chun Mfg,Wan Lee Rd,103.7055,1.331981,791,
808,22009,Boon Lay Int,Jurong West Ctrl 3,103.7055,1.339323,10201,Opp Redhill Stn,Tiong Bahru Rd,103.8166,1.289281,808,
808,14041,Blk 54,Henderson Rd,103.8125,1.273273,10201,Opp Redhill Stn,Tiong Bahru Rd,103.8166,1.289281,808,
816,71179,Opp Blk 1022,Airport Rd,103.8924,1.334677,81179,Blk 22,Old Airport Rd,103.8849,1.307261,816,
819,27109,Opp Westville,Jln Bahar,103.7008,1.353095,22489,Blk 683A,Jurong West Ctrl 1,103.7054,1.342585,819,
820,64509,Blk 941A,Hougang St 92,103.8788,1.37424,64119,Blk 953,Yio Chu Kang Rd,103.8771,1.376792,820,
837,53069,Opp Windsor Pk,Upp Thomson Rd,103.8289,1.357772,51049,SLF Cplx,Thomson Rd,103.838,1.333821,837,
839,82069,Aft GE Life Ctr,Changi Rd,103.903,1.317095,84559,Opp Blks 50/51,Chai Chee St,103.9229,1.328333,839,
839,83101,Eunos Stn,Jln Eunos,103.9049,1.320656,3219,Aft Shenton Way,Palmer Rd,103.8473,1.273235,839,
857,64129,Bef Blk 965,Yio Chu Kang Rd,103.8769,1.37996,64209,Aft Defu Ave 1,Tampines Rd,103.8945,1.36147,857,
857,66541,Blk 980C,Buangkok Link,103.8814,1.379775,64129,Bef Blk 965,Yio Chu Kang Rd,103.8769,1.37996,857,
883,15161,Pasir Panjang Ctr,Pasir Panjang Rd,103.7967,1.274438,14141,VivoCity,Telok Blangah Rd,103.8221,1.265514,883,
883,15219,Pasir View Pk,Pasir Panjang Rd,103.787,1.278181,16019,Haw Par Villa Stn,Pasir Panjang Rd,103.7822,1.282781,883,
909,2161,Opp Millenia Twr,Temasek Ave,103.8609,1.292526,13101,Opp Mohd Sultan Rd,River Valley Rd,103.8423,1.294142,909,
912,54579,Blk 540,Ang Mo Kio Ave 10,103.8548,1.374878,62139,Serangoon Stn,Upp S'goon Rd,103.8734,1.349046,912,
912,54579,Blk 540,Ang Mo Kio Ave 10,103.8548,1.374878,62139,Serangoon Stn,Upp S'goon Rd,103.8734,1.349046,912,
921,53071,Opp Flame Tree Pk,Upp Thomson Rd,103.8283,1.360633,53381,Bishan Nth Shop Mall,Bishan St 22,103.845,1.358304,921,
943,55039,NCS Hub,Yio Chu Kang Rd,103.8438,1.389157,52231,Opp Blk 177,Toa Payoh Ctrl,103.8488,1.334305,943,
943,63241,Blk 21,Hougang Ave 3,103.8921,1.364098,55039,NCS Hub,Yio Chu Kang Rd,103.8438,1.389157,943,
951,10231,Opp Blk 79,Ganges Ave,103.8279,1.290416,11511,Alexandra Hosp,Alexandra Rd,103.8025,1.285947,951,
951,10231,Opp Blk 79,Ganges Ave,103.8279,1.290416,6051,Blk 55,Tiong Bahru Rd,103.8341,1.28476,951,
956,95069,Opp SIA Hangar,Airline Rd,103.9964,1.377898,65261,Blk 649,Punggol Ctrl,103.9148,1.396952,956,
958,60139,Blk 44,Bendemeer Rd,103.8663,1.322049,9038,Midpoint Orchard,Orchard Rd,103.8385,1.301543,958,
962,53351,Ai Tong Sch,Sin Ming Ave,103.8321,1.36081,11261,Holland Village,Holland Rd,103.7944,1.312232,962,
982,54019,Aft Blk 304,Ang Mo Kio Ave 6,103.8442,1.366187,51071,Macritchie Reservoir,Thomson Rd,103.836,1.342193,982,
1006,63369,Serangoon Sports Cplx,Yio Chu Kang Link,103.8741,1.356632,66351,Serangoon Stn,S'goon Ctrl,103.8732,1.350498,1006,
1008,11451,Blk 72,C'wealth Dr,103.7971,1.30035,12099,Opp SIM HQ,Clementi Rd,103.7768,1.32803,1008,
1008,11451,Blk 72,C'wealth Dr,103.7971,1.30035,27141,Blk 920,Jurong West St 91,103.6877,1.339704,1008,
1009,3041,Opp PWC Bldg,Cross St,103.8489,1.281795,6051,Blk 55,Tiong Bahru Rd,103.8341,1.28476,1009,
1009,10119,Opp Pacific Tech Ctr,Jln Bt Merah,103.8112,1.28598,7571,Opp Prime Ctr,Middle Rd,103.8511,1.300634,1009,
1017,77059,Blk 425,Pasir Ris Dr 1,103.9551,1.369361,98049,Loyang Valley,Loyang Ave,103.9706,1.369551,1017,
1021,7371,Aft Kallang Rd,Lavender St,103.8635,1.309508,1013,St. Joseph's Ch,Victoria St,103.8532,1.29771,1021,
1021,1012,Hotel Grand Pacific,Victoria St,103.8525,1.296848,7379,Bef Kallang Rd,Lavender St,103.8634,1.310173,1021,
1030,44229,Bef Pending Stn,Pending Rd,103.7715,1.376561,40231,Raffles Town Club,Whitley Rd,103.8257,1.322148,1030,
1030,44229,Bef Pending Stn,Pending Rd,103.7715,1.376561,51071,Macritchie Reservoir,Thomson Rd,103.836,1.342193,1030,
1038,52039,Aft Muhajirin Mque,Braddell Rd,103.8513,1.343348,52021,Opp Blk 1004,Braddell Rd,103.8477,1.344313,1038,
1039,44441,Blk 239,Choa Chu Kang Way,103.7475,1.379243,12069,Opp Blk 109A,Clementi Rd,103.771,1.321305,1039,
1041,63199,Aft Serangoon Nth Ave 1,Yio Chu Kang Rd,103.8738,1.36328,7011,Peace Ctr,Selegie Rd,103.8498,1.300999,1041,
1042,40019,Little India Stn,Bt Timah Rd,103.8492,1.306644,4167,St. Andrew's Cath,Nth Bridge Rd,103.8515,1.2925,1042,
1042,80159,Suntec City,Nicoll Highway,103.8579,1.295962,2151,Suntec Convention Ctr,Temasek Blvd,103.8578,1.293178,1042,
1045,44411,Blk 108,Teck Whye Lane,103.7532,1.378526,44461,Blk 352,Choa Chu Kang Way,103.743,1.382571,1045,
1046,53221,Blk 115,Bishan St 11,103.8485,1.348168,72051,Kaki Bt Ind Est,Kaki Bt Ave 1,103.9041,1.33344,1046,
1050,67289,Opp Blk 405C,Fernvale Lane,103.8733,1.389664,67009,Sengkang Int,Sengkang Sq,103.8959,1.391781,1050,
1056,62041,Opp Bethany Presby Ch,Upp Paya Lebar Rd,103.8802,1.348383,1112,Opp Bugis Junction,Victoria St,103.8552,1.300155,1056,
1059,75059,SAFRA Tampines,Tampines Ave 1,103.9402,1.344712,92041,Opp Parkway Parade,Marine Parade Rd,103.905,1.302692,1059,
1062,71161,Blk 3019,Ubi Ave 2,103.8921,1.327335,60081,St. Andrew's Jnr Sch,Jln Toa Payoh,103.8663,1.329312,1062,
1065,84089,Blk 40,Bedok Sth Rd,103.94,1.320681,85099,Tanah Merah Stn,New Upp Changi Rd,103.9464,1.327006,1065,
1082,63179,Bef Tai Seng Chr Ch,Yio Chu Kang Rd,103.8739,1.359993,81111,Paya Lebar Stn,Paya Lebar Rd,103.8921,1.318602,1082,
1088,11161,C'wealth Stn,C'wealth Ave,103.7984,1.302133,28091,Lakeside Stn,Boon Lay Way,103.7201,1.344258,1088,
1088,21439,Boon Lay CC,Boon Lay Pl,103.7117,1.348423,21311,Bef Tractor Rd,Jln Boon Lay,103.7096,1.323205,1088,
1094,65019,The Rivervale,Punggol Rd,103.8975,1.381512,67161,Opp Blk 101,Sengkang East Ave,103.8993,1.382125,1094,
1098,46479,Blk 774,Woodlands Ave 9,103.7984,1.447969,46771,Opp Admiralty Stn,Woodlands Ave 7,103.8002,1.440888,1098,
