target,source,flow,distance,TargetBusstopName,SourceBusstopName
27309,27329,1,Short,Pioneer Rd Nth,Pioneer Rd Nth
27329,22361,1,Short,Pioneer Rd Nth,Jurong West Ave 4
27369,27329,1,Short,Jurong West Ave 5,Pioneer Rd Nth
27369,27451,1,Short,Jurong West Ave 5,Jurong West Ave 3
27469,28299,1,Long,Jurong West Ave 3,Jurong Town Hall Rd
28009,28079,1,Short,Jurong Gateway Rd,Boon Lay Way
28009,28469,1,Short,Jurong Gateway Rd,Jurong East Ave 1
28009,28631,1,Short,Jurong Gateway Rd,Toh Guan Rd
28039,59072,1,Long,Boon Lay Way,Yishun Ave 2
28049,9219,1,Long,Boon Lay Way,Scotts Rd
28091,21429,1,Short,Boon Lay Way,Boon Lay Ave
28091,11161,1,Long,Boon Lay Way,C'wealth Ave
28099,21631,1,Short,Boon Lay Way,Yuan Ching Rd
28099,21581,1,Short,Boon Lay Way,Corporation Dr
28101,22469,1,Long,Toh Tuck Ave,Pioneer Rd Nth
28241,28271,2,Short,Jurong Town Hall Rd,Jurong Town Hall Rd
28251,28399,1,Short,Jurong Town Hall Rd,Jurong West St 51
28289,28089,1,Short,Jurong Town Hall Rd,Boon Lay Way
28291,28299,1,Short,Jurong Town Hall Rd,Jurong Town Hall Rd
28301,43171,1,Long,Jurong Gateway Rd,Bt Batok East Ave 3
28621,43279,1,Long,Jurong East Ctrl,Hillview Rd
28659,28089,1,Short,Toh Guan Rd,Boon Lay Way
28659,43809,1,Long,Toh Guan Rd,Bt Batok St 52
28659,28519,1,Long,Toh Guan Rd,Jurong West Ave 1
28659,44269,1,Long,Toh Guan Rd,Bt Panjang Rd
28661,17171,2,Short,Toh Guan Rd East,C'wealth Ave West
28701,17141,1,Short,Toh Tuck Link,AYE
29139,17211,1,Long,Pandan Ave,Clementi Ave 4
30011,44531,1,Long,Old Choa Chu Kang Rd,Choa Chu Kang Ave 4
40011,5012,1,Long,Bt Timah Rd,Eu Tong Sen St
40011,93019,1,Long,Bt Timah Rd,Marine Parade Rd
40091,44241,1,Long,Bt Timah Rd,Bt Panjang Rd
40101,50089,1,Short,Kg Java Rd,Owen Rd
40111,11381,1,Long,Bt Timah Rd,Holland Dr
40179,27099,1,Long,Scotts Rd,Jln Bahar
40181,72041,1,Long,Scotts Rd,Jln Tenaga
40189,6081,1,Long,Scotts Rd,Zion Rd
40231,44229,1,Long,Whitley Rd,Pending Rd
40239,44631,1,Long,Whitley Rd,Jelebu Rd
41021,10231,1,Long,Bt Timah Rd,Ganges Ave
41021,42119,1,Long,Bt Timah Rd,Upp Bt Timah Rd
